Last reset, Game: 0

(Rating: 006000, Game: 112) | Fuel (liter): 178.1 | Cost (pay): 11303 | Distance (km):   274.48 | Time (s):    7190 | Loaders_waiting (min):   144 | Waiting_time (min):   105 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000006, Game: 264) | Fuel (liter): 178.8 | Cost (pay): 11068 | Distance (km):   287.06 | Time (s):    6954 | Loaders_waiting (min):   159 | Waiting_time (min):    38 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 007000, Game: 151) | Fuel (liter): 178.2 | Cost (pay): 11690 | Distance (km):   275.59 | Time (s):    7557 | Loaders_waiting (min):   152 | Waiting_time (min):    89 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000070, Game: 155) | Fuel (liter): 177.4 | Cost (pay): 11437 | Distance (km):   280.46 | Time (s):    7332 | Loaders_waiting (min):   140 | Waiting_time (min):    82 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000007, Game: 308) | Fuel (liter): 191.6 | Cost (pay): 11570 | Distance (km):   305.44 | Time (s):    7176 | Loaders_waiting (min):   178 | Waiting_time (min):    38 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 080900, Game: 241) | Fuel (liter): 182.1 | Cost (pay): 10969 | Distance (km):   286.98 | Time (s):    6793 | Loaders_waiting (min):   174 | Waiting_time (min):    43 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 800000, Game: 194) | Fuel (liter): 176.6 | Cost (pay): 11442 | Distance (km):   280.40 | Time (s):    7353 | Loaders_waiting (min):   148 | Waiting_time (min):    64 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 008000, Game: 118) | Fuel (liter): 183.0 | Cost (pay): 11702 | Distance (km):   276.09 | Time (s):    7473 | Loaders_waiting (min):   166 | Waiting_time (min):   103 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000800, Game: 193) | Fuel (liter): 184.3 | Cost (pay): 11005 | Distance (km):   288.12 | Time (s):    6783 | Loaders_waiting (min):   178 | Waiting_time (min):    49 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000080, Game: 137) | Fuel (liter): 183.1 | Cost (pay): 11848 | Distance (km):   278.78 | Time (s):    7609 | Loaders_waiting (min):   140 | Waiting_time (min):   133 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 900000, Game: 212) | Fuel (liter): 177.2 | Cost (pay): 11592 | Distance (km):   277.07 | Time (s):    7485 | Loaders_waiting (min):   152 | Waiting_time (min):    74 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 090000, Game: 220) | Fuel (liter): 179.7 | Cost (pay): 10987 | Distance (km):   285.34 | Time (s):    6859 | Loaders_waiting (min):   163 | Waiting_time (min):    45 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 009000, Game:  99) | Fuel (liter): 189.5 | Cost (pay): 12176 | Distance (km):   276.09 | Time (s):    7794 | Loaders_waiting (min):   164 | Waiting_time (min):   157 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000090, Game: 280) | Fuel (liter): 184.8 | Cost (pay): 11901 | Distance (km):   290.33 | Time (s):    7625 | Loaders_waiting (min):   140 | Waiting_time (min):   101 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
(Rating: 000009, Game: 270) | Fuel (liter): 185.4 | Cost (pay): 11188 | Distance (km):   295.12 | Time (s):    6936 | Loaders_waiting (min):   172 | Waiting_time (min):    39 | MassL (ton): 2400/2400 | MassL (ton): 2400/2400 | 
