TOTAL RANK   TEST   VAL   FEAT_IMPORTANCE   (FEATURE) 
     0        0     0           0            AltitudeDeltaEndStart
     5        3     1           1            AltitudeGain
     6        1     2           3            AccTime
     7        2     3           2            AltitudeGainPart
    14        5     5           4            Quantity
    16        4     4           8            AltitudeChange
    17        6     6           5            SumRotation
    20        7     7           6            AltitudeLossPart
    23        8     8           7            AltitudeDeltaMaxMin
