TOTAL RANK   TEST   VAL   FEAT_IMPORTANCE   (FEATURE) 
     0        0     0           0            AltitudeDeltaEndStart
     4        1     1           2            AltitudeGainPart
     5        2     2           1            AltitudeGain
    11        3     3           5            AccTime
    11        4     4           3            AltitudeDeltaMaxMin
    16        5     5           6            UpInclination
    17        6     7           4            SpeedMean
    20        7     6           7            Quantity
