##############Dumper num: 0##############
Time: [02:12:09, 02:25:37], PLAN: L17, D63
Time: [02:25:37, 02:42:51], PLAN: D63, L8
Time: [02:42:51, 02:57:25], PLAN: L8, D63
Time: [02:57:25, 03:10:31], PLAN: D63, L15
Time: [03:10:31, 03:24:11], PLAN: L15, D60
Time: [03:24:11, 03:44:39], PLAN: D60, L8
Time: [03:44:39, 04:02:27], PLAN: L8, D60
--------------------------------------------
##############Dumper num: 10##############
Time: [00:00:00, 00:33:22], PLAN: P83, L72
Time: [00:33:22, 00:39:13], PLAN: L72, D60
Time: [00:39:13, 00:55:29], PLAN: D60, L32
Time: [00:55:29, 01:01:36], PLAN: L32, D63
Time: [01:01:36, 01:06:17], PLAN: D63, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 11##############
Time: [00:00:00, 00:36:33], PLAN: P83, L72
Time: [00:36:33, 00:42:24], PLAN: L72, D60
Time: [00:42:24, 00:58:40], PLAN: D60, L32
Time: [00:58:40, 01:06:55], PLAN: L32, D60
Time: [01:06:55, 01:23:15], PLAN: D60, L15
Time: [01:23:15, 01:36:55], PLAN: L15, D60
Time: [01:36:55, 01:57:23], PLAN: D60, L8
Time: [01:57:23, 02:06:48], PLAN: L8, D57
Time: [02:06:48, 02:17:47], PLAN: D57, L17
Time: [02:17:47, 02:34:29], PLAN: L17, D60
Time: [02:34:29, 02:50:49], PLAN: D60, L15
Time: [02:50:49, 03:04:29], PLAN: L15, D60
Time: [03:04:29, 03:24:57], PLAN: D60, L8
Time: [03:24:57, 03:42:45], PLAN: L8, D60
Time: [03:42:45, 04:03:13], PLAN: D60, L8
Time: [04:03:13, 04:21:01], PLAN: L8, D60
--------------------------------------------
##############Dumper num: 12##############
Time: [00:00:00, 00:00:12], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 13##############
Time: [00:00:00, 00:00:13], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 14##############
Time: [00:00:00, 00:00:14], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 15##############
Time: [00:00:00, 00:00:15], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 16##############
Time: [00:00:00, 00:00:16], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 17##############
Time: [00:00:00, 00:00:17], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 18##############
Time: [00:00:00, 00:00:18], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 19##############
Time: [00:00:00, 00:00:19], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 20##############
Time: [00:00:00, 00:00:20], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 21##############
Time: [00:00:00, 00:00:21], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 22##############
Time: [00:00:00, 00:00:22], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 23##############
Time: [00:00:00, 00:00:23], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 24##############
Time: [00:00:00, 00:00:24], PLAN: P83, P83
################ PARKED ################# 

--------------------------------------------
