##############Dumper num: 0##############
Time: [00:00:00, 00:07:54], PLAN: P83, L72
Time: [00:07:54, 00:12:45], PLAN: L72, D63
Time: [00:12:45, 00:25:51], PLAN: D63, L15
Time: [00:25:51, 00:37:12], PLAN: L15, D57
Time: [00:37:12, 00:47:40], PLAN: D57, L97
Time: [00:47:40, 00:55:28], PLAN: L97, D57
Time: [00:55:28, 01:05:56], PLAN: D57, L97
Time: [01:05:56, 01:13:44], PLAN: L97, D57
Time: [01:13:44, 01:24:43], PLAN: D57, L17
Time: [01:24:43, 01:33:02], PLAN: L17, D57
Time: [01:33:02, 01:44:01], PLAN: D57, L17
Time: [01:44:01, 02:00:43], PLAN: L17, D60
Time: [02:00:43, 02:20:05], PLAN: D60, L17
Time: [02:20:05, 02:33:33], PLAN: L17, D63
Time: [02:33:33, 02:49:41], PLAN: D63, L17
Time: [02:49:41, 03:06:23], PLAN: L17, D60
Time: [03:06:23, 03:25:45], PLAN: D60, L17
Time: [03:25:45, 03:42:27], PLAN: L17, D60
--------------------------------------------
##############Dumper num: 1##############
Time: [00:00:00, 00:11:58], PLAN: P83, L97
Time: [00:11:58, 00:19:46], PLAN: L97, D57
Time: [00:19:46, 00:30:14], PLAN: D57, L97
Time: [00:30:14, 00:38:02], PLAN: L97, D57
Time: [00:38:02, 00:50:07], PLAN: D57, L8
Time: [00:50:07, 01:00:00], PLAN: L8, D57
Time: [01:00:00, 01:10:28], PLAN: D57, L97
Time: [01:10:28, 01:18:16], PLAN: L97, D57
Time: [01:18:16, 01:30:21], PLAN: D57, L8
Time: [01:30:21, 01:39:46], PLAN: L8, D57
Time: [01:39:46, 01:51:51], PLAN: D57, L8
Time: [01:51:51, 02:06:25], PLAN: L8, D63
Time: [02:06:25, 02:11:06], PLAN: D63, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 2##############
Time: [00:00:00, 00:11:05], PLAN: P83, L72
Time: [00:11:05, 00:16:56], PLAN: L72, D60
Time: [00:16:56, 00:36:18], PLAN: D60, L17
Time: [00:36:18, 00:44:37], PLAN: L17, D57
Time: [00:44:37, 00:55:36], PLAN: D57, L17
Time: [00:55:36, 01:03:55], PLAN: L17, D57
Time: [01:03:55, 01:14:23], PLAN: D57, L97
Time: [01:14:23, 01:23:56], PLAN: L97, D63
Time: [01:23:56, 01:37:02], PLAN: D63, L15
Time: [01:37:02, 01:50:42], PLAN: L15, D60
Time: [01:50:42, 02:07:02], PLAN: D60, L15
Time: [02:07:02, 02:20:42], PLAN: L15, D60
Time: [02:20:42, 02:37:02], PLAN: D60, L15
Time: [02:37:02, 02:50:42], PLAN: L15, D60
Time: [02:50:42, 03:00:27], PLAN: D60, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 3##############
Time: [00:00:00, 00:14:16], PLAN: P83, L72
Time: [00:14:16, 00:20:07], PLAN: L72, D60
Time: [00:20:07, 00:31:02], PLAN: D60, L32
Time: [00:31:02, 00:37:09], PLAN: L32, D63
Time: [00:37:09, 00:50:08], PLAN: D63, L32
Time: [00:50:08, 00:58:23], PLAN: L32, D60
Time: [00:58:23, 01:18:51], PLAN: D60, L8
Time: [01:18:51, 01:28:16], PLAN: L8, D57
Time: [01:28:16, 01:40:21], PLAN: D57, L8
Time: [01:40:21, 01:54:55], PLAN: L8, D63
Time: [01:54:55, 01:59:36], PLAN: D63, P83
################ PARKED ################# 

--------------------------------------------
