TOTAL RANK   TEST   VAL   FEAT_IMPORTANCE   (FEATURE) 
     0        0     0           0            AltitudeDeltaEndStart
     3        1     1           1            AltitudeGain
     6        2     2           2            AccTime
    12        3     3           6            UpInclination
    15        4     6           5            Quantity
    15        6     5           4            AltitudeDeltaMaxMin
    16        5     4           7            AltitudeChange
    19        8     8           3            SpeedMean
    22        7     7           8            AltitudeLoss
