##############Dumper num: 0##############
Time: [00:00:00, 00:07:54], PLAN: P83, L72
Time: [00:07:54, 00:12:45], PLAN: L72, D63
Time: [00:12:45, 00:25:51], PLAN: D63, L15
Time: [00:25:51, 00:37:12], PLAN: L15, D57
Time: [00:37:12, 00:49:17], PLAN: D57, L8
Time: [00:49:17, 00:58:42], PLAN: L8, D57
Time: [00:58:42, 01:09:41], PLAN: D57, L17
Time: [01:09:41, 01:18:20], PLAN: L17, D57
Time: [01:18:20, 01:32:21], PLAN: D57, L15
Time: [01:32:21, 01:46:01], PLAN: L15, D60
Time: [01:46:01, 02:06:29], PLAN: D60, L8
Time: [02:06:29, 02:21:03], PLAN: L8, D63
Time: [02:21:03, 02:25:44], PLAN: D63, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 1##############
Time: [00:00:00, 00:11:05], PLAN: P83, L72
Time: [00:11:05, 00:15:56], PLAN: L72, D63
Time: [00:15:56, 00:32:04], PLAN: D63, L17
Time: [00:32:04, 00:40:23], PLAN: L17, D57
Time: [00:40:23, 00:54:53], PLAN: D57, L97
Time: [00:54:53, 01:02:41], PLAN: L97, D57
Time: [01:02:41, 01:16:42], PLAN: D57, L15
Time: [01:16:42, 01:30:22], PLAN: L15, D60
Time: [01:30:22, 01:46:42], PLAN: D60, L15
Time: [01:46:42, 02:00:22], PLAN: L15, D60
Time: [02:00:22, 02:19:44], PLAN: D60, L17
Time: [02:19:44, 02:36:26], PLAN: L17, D60
Time: [02:36:26, 02:56:54], PLAN: D60, L8
Time: [02:56:54, 03:11:28], PLAN: L8, D63
Time: [03:11:28, 03:27:36], PLAN: D63, L17
Time: [03:27:36, 03:44:18], PLAN: L17, D60
Time: [03:44:18, 04:00:38], PLAN: D60, L15
Time: [04:00:38, 04:14:18], PLAN: L15, D60
--------------------------------------------
##############Dumper num: 2##############
Time: [00:00:00, 00:11:59], PLAN: P83, L97
Time: [00:11:59, 00:19:47], PLAN: L97, D57
Time: [00:19:47, 00:30:15], PLAN: D57, L97
Time: [00:30:15, 00:38:03], PLAN: L97, D57
Time: [00:38:03, 00:48:31], PLAN: D57, L97
Time: [00:48:31, 00:56:19], PLAN: L97, D57
Time: [00:56:19, 01:08:24], PLAN: D57, L8
Time: [01:08:24, 01:17:49], PLAN: L8, D57
Time: [01:17:49, 01:29:54], PLAN: D57, L8
Time: [01:29:54, 01:47:42], PLAN: L8, D60
Time: [01:47:42, 02:04:02], PLAN: D60, L15
Time: [02:04:02, 02:17:42], PLAN: L15, D60
Time: [02:17:42, 02:34:02], PLAN: D60, L15
Time: [02:34:02, 02:47:42], PLAN: L15, D60
Time: [02:47:42, 03:04:02], PLAN: D60, L15
Time: [03:04:02, 03:17:42], PLAN: L15, D60
Time: [03:17:42, 03:27:27], PLAN: D60, P83
################ PARKED ################# 

--------------------------------------------
##############Dumper num: 3##############
Time: [00:00:00, 00:14:16], PLAN: P83, L72
Time: [00:14:16, 00:20:07], PLAN: L72, D60
Time: [00:20:07, 00:31:02], PLAN: D60, L32
Time: [00:31:02, 00:37:09], PLAN: L32, D63
Time: [00:37:09, 00:53:17], PLAN: D63, L17
Time: [00:53:17, 01:01:36], PLAN: L17, D57
Time: [01:01:36, 01:13:09], PLAN: D57, L97
Time: [01:13:09, 01:22:42], PLAN: L97, D63
Time: [01:22:42, 01:27:23], PLAN: D63, P83
################ PARKED ################# 

--------------------------------------------
