TOTAL RANK   TEST   VAL   FEAT_IMPORTANCE   (FEATURE) 
     0        0     0           0            AltitudeDeltaEndStart
     5        3     1           1            AltitudeGain
     6        1     3           2            AltitudeGainPart
     7        2     2           3            AccTime
    17        6     6           5            Quantity
    18        4     4          10            AltitudeChange
    18        7     5           6            SumRotation
    19        5     7           7            AltitudeLossPart
    20        8     8           4            AltitudeDeltaMaxMin
    27        9    10           8            AltitudeLoss
    28       10     9           9            UpInclination
